,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Humidity preference,Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Fan,Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
76,Malaysia,0.74,1.2,72.0,,25293,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
77,Malaysia,0.82,1.2,72.0,,25294,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
78,Malaysia,0.5,1.1,72.0,,25295,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
79,Malaysia,0.48,1.1,72.0,,25296,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
80,Malaysia,0.74,1.0,73.0,,25297,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,30.0,86.0,,,,,,,,,,28.0,82.4,Database 2
81,Malaysia,0.57,1.0,73.0,,25298,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,30.0,86.0,,,,,,,,,,28.0,82.4,Database 2
82,Malaysia,0.57,1.1,73.0,,25299,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,30.6,87.1,,,,,,,,,,28.0,82.4,Database 2
83,Malaysia,0.59,1.2,73.0,,25300,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,30.7,87.3,,,,,,,,,,28.0,82.4,Database 2
84,Malaysia,0.62,1.0,71.0,,25301,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,31.6,88.9,,,,,,,,,,28.0,82.4,Database 2
85,Malaysia,0.73,1.0,71.0,,25302,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,31.6,88.9,,,,,,,,,,28.0,82.4,Database 2
86,Malaysia,0.62,1.2,69.0,,25303,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.5,83.3,,,,,,,,,,28.0,82.4,Database 2
87,Malaysia,0.75,1.1,66.0,,25304,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,27.3,81.1,,,,,,,,,,28.0,82.4,Database 2
88,Malaysia,0.57,1.0,71.0,,25305,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.4,84.9,,,,,,,,,,28.0,82.4,Database 2
89,Malaysia,0.67,1.2,72.0,,25306,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,29.7,85.5,,,,,,,,,,28.0,82.4,Database 2
90,Malaysia,0.57,1.2,72.0,,25307,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
91,Malaysia,0.48,1.1,66.0,,25308,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,27.4,81.3,,,,,,,,,,28.0,82.4,Database 2
92,Malaysia,0.48,1.1,66.0,,25309,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,27.4,81.3,,,,,,,,,,28.0,82.4,Database 2
93,Malaysia,0.62,1.1,64.0,,25310,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,27.6,81.7,,,,,,,,,,28.0,82.4,Database 2
94,Malaysia,0.64,1.0,64.0,,25311,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,27.6,81.7,,,,,,,,,,28.0,82.4,Database 2
95,Malaysia,0.64,1.1,64.0,,25312,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,27.6,81.7,,,,,,,,,,28.0,82.4,Database 2
96,Malaysia,0.79,1.1,66.0,,25313,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,28.3,82.9,,,,,,,,,,28.0,82.4,Database 2
97,Malaysia,0.62,1.1,66.0,,25314,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,28.3,82.9,,,,,,,,,,28.0,82.4,Database 2
98,Malaysia,0.57,1.2,66.0,,25315,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,28.3,82.9,,,,,,,,,,28.0,82.4,Database 2
99,Malaysia,0.57,1.1,66.0,,25316,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.3,82.9,,,,,,,,,,28.0,82.4,Database 2
100,Malaysia,0.33,1.0,55.4,0.4,25317,"Djamila, H., Chu, C. M., & Kumaresan, S. (2013). Field study of thermal comfort in residential buildings in the equatorial hot-humid climate of Malaysia. Building and Environment, 62, 133-142.",Djamila,2007.0,Summer,Af,Tropical rainforest,Kuala Lumpur,Multifamily housing,Naturally Ventilated,36.0,1.0,1.0,no change,33.1,91.6,33.2,91.8,no change,78.74,150.0,45.0,1.0,1.0,1.0,28.0,82.4,Database 2
101,Malaysia,0.17,0.9,59.3,0.5,25318,"Djamila, H., Chu, C. M., & Kumaresan, S. (2013). Field study of thermal comfort in residential buildings in the equatorial hot-humid climate of Malaysia. Building and Environment, 62, 133-142.",Djamila,2007.0,Summer,Af,Tropical rainforest,Kuala Lumpur,Multifamily housing,Naturally Ventilated,25.0,1.0,1.0,no change,33.4,92.1,33.4,92.1,more humid,98.43,,69.0,1.0,1.0,1.0,28.0,82.4,Database 2
102,Malaysia,0.34,1.0,64.0,0.3,25319,"Djamila, H., Chu, C. M., & Kumaresan, S. (2013). Field study of thermal comfort in residential buildings in the equatorial hot-humid climate of Malaysia. Building and Environment, 62, 133-142.",Djamila,2007.0,Summer,Af,Tropical rainforest,Kuala Lumpur,Multifamily housing,Naturally Ventilated,25.0,2.0,1.0,no change,31.4,88.5,31.5,88.7,no change,59.06,142.0,45.0,1.0,0.0,1.0,28.0,82.4,Database 2
