,Country,Clo,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
56,China,0.33,84.4,0.06,15733,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,3.0,27.2,80.9,12.47,22.0,72.0,Database 2
57,China,0.54,63.8,0.24,15734,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
58,China,0.54,63.8,0.24,15735,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
59,China,0.47,63.8,0.24,15736,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,3.0,26.8,80.2,46.59,22.0,72.0,Database 2
60,China,0.31,63.8,0.24,15737,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
61,China,0.5,63.8,0.24,15738,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
62,China,0.4,63.8,0.24,15739,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
63,China,0.5,63.8,0.24,15740,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
64,China,0.41,63.8,0.24,15741,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
65,China,0.55,63.8,0.24,15742,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
