,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
50,Japan,0.46,,72.8,50,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
51,Japan,0.34,,72.8,51,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
52,Japan,0.34,,72.8,52,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
53,Japan,0.26,,72.8,53,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-0.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
54,Japan,0.33,,72.8,54,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,cooler,5.0,26.9,80.5,18.0,64.4,Database 2
55,Japan,0.44,,72.8,55,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,2.0,26.9,80.5,18.0,64.4,Database 2
56,Japan,0.26,,72.8,56,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,cooler,4.0,26.9,80.5,18.0,64.4,Database 2
57,Japan,0.46,,72.8,57,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,5.0,26.9,80.5,18.0,64.4,Database 2
58,Japan,0.46,,72.8,58,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-0.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
59,Japan,0.64,,72.8,59,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,5.0,26.9,80.5,18.0,64.4,Database 2
60,Japan,0.34,,72.8,60,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,cooler,6.0,26.9,80.5,18.0,64.4,Database 2
61,Japan,0.46,,72.8,61,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
62,Japan,0.52,,72.8,62,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,1.0,cooler,5.0,26.9,80.5,18.0,64.4,Database 2
63,Japan,0.46,,72.8,63,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-0.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
64,Japan,0.39,,72.8,64,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
