,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
63,-2.8,98,16.44,1.2,23.1,29.9,0.52,0,23.1,22.3,22.5,22.4,22.3,21.2,0,41
64,-1.1,32,20.65,1.2,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
65,-1,27,21.02,1.2,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
66,-0.8,19,21.73,1.2,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
67,-1,28,20.93,1.2,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,0,41
68,-0.7,14,22.33,1.2,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,0,41
69,-1.3,39,20.18,1.2,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,0,41
70,-0.4,8,22.7,1.4,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,1,41
71,-0.766666667,19.66666667,21.85333333,1.233333333,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
72,-0.4,8,23.18,1.3,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
73,0.4,9,25.96,1.9,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,0,41
74,-0.7,16,22.08,1.2,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
75,-1.2,36,20.14,1.3,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
76,-1.3,39,20.18,1.2,23.2,29.6,0.56,1,23.2,22.4,22.5,22.5,22.3,21.2,0,41
77,-0.866666667,22.33333333,21.48666667,1.2,23.2,29.6,0.56,0,23.2,22.4,22.5,22.5,22.3,21.2,0,41
78,-1.1,32,20.65,1.2,23.2,29.6,0.56,2,23.2,22.4,22.5,22.5,22.3,21.2,0,41
79,-0.033333333,7.333333333,24.73333333,1.2,25.8,50.53333333,0.06,0,25.8,25.26666667,25.66666667,26.16666667,25.73333333,24.83333333,1,77
80,-0.033333333,5,24.40666667,1.2,25.76666667,50.36666667,0.056666667,0,25.76666667,25.13333333,25.56666667,25.76666667,25.56666667,24.43333333,1,77
81,0.466666667,13.66666667,26.05,1.2,27.13333333,57.8,0.033333333,1,27.13333333,25.96666667,27.16666667,27.1,26.9,25.73333333,1,77
82,-0.9,21,22.18,1.2,23.3,41.3,0.18,0,23.3,22.6,23.2,23,22.9,21.9,0,55.4
83,-0.1,5,24.93,1.2,23.3,41.3,0.18,0,23.3,22.6,23.2,23,22.9,21.9,0,55.4
84,-0.3,7,24.02,1.2,23.3,41.3,0.18,-1,23.3,22.6,23.2,23,22.9,21.9,0,55.4
85,-0.7,15,20.75,1.6,23.5,40.8,0.79,0,23.5,22.8,23.3,23.2,23.1,21.9,0,55.4
86,-1.1,31,20.62,1.2,23.5,40.8,0.79,0,23.5,22.8,23.3,23.2,23.1,21.9,0,55.4
87,-1.3,40,20.13,1.2,23.5,40.8,0.79,0,23.5,22.8,23.3,23.2,23.1,21.9,0,55.4
88,-0.8,19,22.46,1.2,23.5,39.7,0.14,0,23.5,22.8,23.3,23.3,23.1,21.8,0,55.4
89,-0.5,9,23.75,1.2,23.5,39.7,0.14,0,23.5,22.8,23.3,23.3,23.1,21.8,0,55.4
90,-0.8,18,22.38,1.3,23.5,39.7,0.14,0,23.5,22.8,23.3,23.3,23.1,21.8,0,55.4
91,0.3,7,23.92,1.9,23.7,39,2.52,0,23.7,23,23.4,23.4,23.2,22.1,0,55.4
92,-1.1,30,18.62,1.7,23.7,39,2.52,0,23.7,23,23.4,23.4,23.2,22.1,0,55.4
93,-1.2,36,19.64,1.3,24.3,34.8,1.29,0,24.3,23.9,24,23.8,23.7,22.7,0,55.4
94,-0.5,10,22.46,1.2,24.5,33,1.8,1,24.5,23.6,24.3,24.3,24.1,23.2,1,55.4
95,-0.866666667,21.33333333,20.61,1.7,23.56666667,39.83333333,1.15,1,23.56666667,22.86666667,23.33333333,23.3,23.13333333,21.93333333,0,55.4
96,-0.933333333,24.33333333,21.49333333,1.3,23.76666667,38.06666667,0.523333333,2,23.76666667,23.16666667,23.53333333,23.46666667,23.3,22.1,0,55.4
97,-0.966666667,25.33333333,21.42666667,1.2,23.7,38.6,0.536666667,0,23.7,23.1,23.5,23.36666667,23.23333333,22.13333333,1,55.4
98,-0.5,19,22.17,1.9,23.9,37.6,1.703333333,1,23.9,23.13333333,23.66666667,23.63333333,23.46666667,22.4,0,55.4
99,-0.966666667,25.33333333,21.42666667,1.2,23.7,38.6,0.536666667,0,23.7,23.1,23.5,23.36666667,23.23333333,22.13333333,0,55.4
100,-0.933333333,24.33333333,21.49333333,1.2,23.76666667,38.06666667,0.523333333,0,23.76666667,23.16666667,23.53333333,23.46666667,23.3,22.1,0,55.4
101,-0.966666667,27,21.07,1.1,23.83333333,38.2,1.126666667,1,23.83333333,23.06666667,23.63333333,23.56666667,23.43333333,22.33333333,0,55.4
102,-0.833333333,20.33333333,22.18333333,1.2,23.43333333,40.6,0.37,1,23.43333333,22.73333333,23.26666667,23.16666667,23.03333333,21.86666667,0,55.4
103,-0.9,23.66666667,21.59,1.1,23.76666667,38.36666667,0.923333333,1,23.76666667,23,23.6,23.5,23.36666667,22.33333333,0,55.4
104,-0.566666667,15,23.1,1,23.43333333,40.6,0.37,2,23.43333333,22.73333333,23.26666667,23.16666667,23.03333333,21.86666667,0,55.4
105,-0.5,17.33333333,21.09666667,1.7,23.63333333,39.6,1.943333333,0,23.63333333,22.93333333,23.36666667,23.33333333,23.16666667,22.03333333,0,55.4
106,-0.9,23.33333333,22.02,1,23.43333333,40.6,0.37,0,23.43333333,22.73333333,23.26666667,23.16666667,23.03333333,21.86666667,0,55.4
107,-1.033333333,28.33333333,20.24,1.5,23.83333333,37.83333333,1.316666667,0,23.83333333,23.23333333,23.56666667,23.5,23.33333333,22.2,0,55.4
