,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
22567,-1.3,41.86,20.98666667,0.53,0.8,20.8,49.3,0.043333333,-1,20.23333333,68.1
22568,-1.123333333,36.73,21.34333333,0.69,1.1,20.7,51.2,0.036666667,1,22.4,62.4
22569,-0.533333333,14.73666667,23.60666667,0.63,1,22,55,0.086666667,0,22.03333333,61.2
22570,-0.266666667,9,24.16,0.43,2,22,55.1,0.033333333,1,22.93333333,60.9
22571,-0.113333333,10.77,25.15333333,0.48,1.7,21.53333333,58.7,0.04,0,22.2,56.6
22572,-1.093333333,36.17666667,21.88333333,0.65,1.5,20.3,59.7,0.05,0,20.36666667,64.1
22573,-1.093333333,36.17666667,21.88333333,0.51,1.5,20.5,59.2,0.05,-1,21.43333333,64.7
22574,-0.756666667,25.47666667,22.95666667,0.47,1,23,63.5,0.076666667,1,22.73333333,70.8
22575,-0.343333333,10.72,23.82333333,0.6,1,22.83333333,59,0.026666667,2,22.36666667,68.2
22576,0.2,6,26.2,0.6,1,24.4,67.5,0.233333333,0,24.96666667,68.6
22577,-0.843333333,25.54,21.98333333,0.5,1,22.5,66.8,0.186666667,2,21.93333333,71.9
22578,-0.843333333,25.54,21.98333333,0.71,1,22.5,66.8,0.186666667,1,21.76666667,71.7
22579,-0.016666667,10.57333333,25.13333333,0.62,1,27.8,63.8,0.09,2,23.83333333,80
22580,-1.133333333,32.67666667,21.56666667,0.64,1,24,66.2,0.09,2,22.73333333,77.9
22581,-0.39,10.97333333,23.89333333,0.68,1,23.6,60.9,0.01,0,22.73333333,67.4
22582,-0.46,10.92333333,23.43333333,0.39,1,22.7,58.9,0.046666667,1,22.83333333,58.6
22583,-0.796666667,19.43333333,22.4,0.52,1.1,22.7,58.9,0.08,0,22.8,58.6
22584,-1.283333333,43.66666667,20.87,0.76,1,19.3,68.4,0.073333333,-1,23.7,59.2
22585,-1.85E-17,6.666666667,25.53,0.68,1,22.2,70.1,1.72,2,21.06666667,58.5
22586,1.9,70.32333333,34.56,0.79,5,23.2,56.6,0.073333333,2,22.56666667,67.4
22587,-0.313333333,8.92,24.00666667,0.57,1,23.2,56.6,0.036666667,0,21.9,67.4
