PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
-0.1,5,24.63,0.56,1.6,21.7,36,0,-2,22.1,22.1,0,41.3
-0.2,6,24.71,0.82,1.2,22,36.2,0,0,22.4,22.4,0,41.3
0.1,5,25.79,0.95,1.2,22.2,35.7,0,1,22.6,22.6,1,41.3
0.9,24,29.7,0.63,2.3,22.2,34.3,0,0,22.7,22.7,0,41.3
0.1,5,26.06,0.98,1.2,22.3,35,0,0,22.7,22.7,0,41.3
-0.1,5,24.45,0.56,1.6,21.1,36.6,0,0,22.5,22.2,1,41.3
0,5,25.48,0.75,1.6,21.4,36.7,0.2,0,22.4,21.9,0,41.3
0.3,6,26.22,0.61,1.8,21.2,36.8,0,0,22.2,21.9,0,41.3
0.1,5,26.06,0.89,1.3,21.7,35.8,0,0,23,22.7,3,41.3
0.1,5,25.68,0.66,1.6,22,34.5,0,0,22.3,22.3,0,41.3
0.1,5,25.97,0.98,1.2,22.3,33.5,0,0,22.6,22.6,0,41.3
0.5,10,27.48,0.71,1.8,22,30.2,0,0,22.6,22.6,0,41.3
0.5,11,27.98,0.86,1.7,21.9,32.8,0,0,22.3,22.2,0,41.3
-0.1,5,25.12,0.87,1.2,22,32.2,0,0,23,22.7,1,41.3
0.3,7,26.42,0.7,1.6,22.5,31.2,0,0,23,23,0,41.3
