,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
138,0.1,5.0,24.42,0.59,1.7,24.4,48.5,0.32,-2.0,1.0,1.0,5.0,76.0,23.1,73.6,62.75,78.6
139,0.0,5.0,25.44,0.84,1.3,22.0,49.7,0.12,-2.0,1.0,1.0,5.0,71.7,21.4,70.6,22.64,78.6
140,-0.4,8.0,23.81,0.73,1.1,22.2,49.1,0.1,-2.0,1.0,1.0,5.0,71.9,22.4,72.2,19.13,78.6
141,-0.7,17.0,22.47,0.59,1.2,22.2,48.1,0.11,-2.0,1.0,1.0,6.0,72.0,21.8,71.3,21.1,78.6
142,0.5,11.0,27.8,0.73,1.5,23.4,56.4,0.09,0.0,1.0,1.0,5.0,74.2,23.4,74.2,17.29,78.6
143,-0.2,6.0,24.44,0.59,1.2,23.4,55.9,0.09,-1.0,1.0,1.0,5.0,74.1,23.4,74.1,16.79,78.6
144,0.4,8.0,26.77,0.65,1.4,23.4,56.4,0.09,-1.0,1.0,1.0,6.0,74.2,23.4,74.2,17.29,78.6
145,0.6,12.0,28.24,0.84,1.4,23.5,56.9,0.09,-1.0,1.0,1.0,5.0,74.2,23.5,74.2,18.21,78.6
146,0.2,6.0,26.58,0.84,1.2,23.8,59.1,0.14,-2.0,1.0,1.0,5.0,74.8,23.2,73.7,27.37,78.6
147,-0.5,11.0,23.4,0.59,1.1,23.7,58.7,0.14,-2.0,1.0,1.0,5.0,74.6,23.0,73.3,27.37,78.6
148,0.0,5.0,25.44,0.73,1.2,23.7,58.7,0.14,-1.0,1.0,1.0,5.0,74.6,23.0,73.3,27.37,78.6
149,0.0,5.0,25.58,0.65,1.3,23.8,59.1,0.14,-2.0,1.0,1.0,6.0,74.8,23.2,73.7,27.37,78.6
150,-0.1,5.0,25.31,0.67,1.2,23.6,71.5,0.19,2.0,0.0,1.0,3.0,74.5,23.7,74.6,37.59,78.6
151,0.6,12.0,27.98,0.65,1.6,24.0,53.1,0.1,-1.0,1.0,1.0,5.0,75.1,23.8,74.9,19.69,78.6
152,0.1,5.0,25.78,0.67,1.2,24.1,48.7,0.13,-1.0,0.0,0.0,4.0,75.3,23.9,75.0,25.47,78.6
153,0.3,7.0,26.68,0.65,1.3,24.0,57.1,0.1,1.0,0.0,1.0,3.0,75.2,23.9,75.1,19.25,78.6
154,-0.6,13.0,22.31,0.59,1.2,25.3,48.6,0.29,0.0,1.0,1.0,5.0,77.5,23.6,74.6,56.47,78.6
155,0.1,5.0,25.35,0.67,1.6,23.1,38.7,0.1,-2.0,1.0,1.0,6.0,73.5,21.4,70.5,20.61,78.6
156,-0.1,5.0,24.83,0.59,1.1,23.7,63.6,0.07,-1.0,1.0,1.0,5.0,74.6,24.1,75.3,14.33,78.6
157,0.8,18.0,28.83,0.73,1.4,25.3,59.5,0.08,-1.0,0.0,1.0,6.0,77.5,24.9,76.8,15.81,78.6
158,0.1,5.0,25.54,0.67,1.0,25.2,59.6,0.1,-1.0,1.0,1.0,4.0,77.4,24.9,76.8,19.69,78.6
159,-0.8,19.0,22.31,0.51,1.1,25.3,39.1,0.2,1.0,0.0,1.0,5.0,77.6,23.9,75.1,39.49,78.6
160,-0.1,5.0,24.73,0.42,1.2,25.0,43.3,0.13,0.0,1.0,1.0,4.0,77.0,25.2,77.4,24.98,78.6
161,0.9,22.0,29.3,1.01,1.2,25.6,41.3,0.05,-2.0,0.0,1.0,5.0,78.1,25.4,77.7,10.4,78.6
162,0.5,11.0,27.25,0.78,1.2,25.6,41.4,0.08,0.0,1.0,1.0,5.0,78.0,25.2,77.4,16.3,78.6
163,0.2,6.0,25.9,0.5,1.6,23.5,46.5,0.13,-2.0,1.0,1.0,6.0,74.2,23.4,74.2,25.47,78.6
164,-0.6,11.0,23.66,0.42,1.1,24.0,45.7,0.15,-2.0,1.0,1.0,5.0,75.2,24.5,76.2,29.77,78.6
165,0.2,6.0,25.73,0.56,1.1,26.3,38.6,0.17,1.0,0.0,1.0,4.0,79.4,26.3,79.4,33.77,78.6
