City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Karachi,Pakistan,25,2,0.04,24.9,25.2,16.9,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.01,25.1,25.2,20.6,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.02,24.6,24.9,21,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.02,24.4,24.3,26.2,13.3,1.63,0.89,0
Karachi,Pakistan,25,2,0.35,22.2,21.5,23.7,13.3,1.24,0.77,0
Karachi,Pakistan,25,2,0.03,21.9,21.7,24.8,13.3,1.14,1.13,0
Karachi,Pakistan,25,2,0.07,22,22.3,16.7,13.3,1.14,1.88,0
Karachi,Pakistan,25,2,0.01,22.8,22.9,16.7,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.02,24,23.7,16.8,13.3,0.77,1.01,-2
Karachi,Pakistan,25,2,0.07,24.4,24.4,16.8,13.3,0.77,1.88,-2
Karachi,Pakistan,25,2,0.09,25,25,16.8,13.3,1.26,1.88,0
Karachi,Pakistan,25,2,0.31,26,25.7,17.3,13.3,0.75,0.77,1
Karachi,Pakistan,25,2,0.01,24.4,24.7,61.1,13.3,1.12,1.01,0
Karachi,Pakistan,25,2,0.01,24.7,24.7,58.8,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.02,24.4,24.4,62,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.02,24.4,24.4,60.8,13.3,0.75,0.77,0
Karachi,Pakistan,25,2,0.01,21.3,21.7,66.9,13.3,1.12,0.77,0
Karachi,Pakistan,25,2,0.01,22.7,23,64.4,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.14,22.9,23.1,67.4,13.3,1.14,1.88,0
Karachi,Pakistan,25,2,0.01,23.6,23.8,65,13.3,1.14,1.13,0
Karachi,Pakistan,25,2,0.02,24.3,24.2,65.1,13.3,1.14,1.01,0
Karachi,Pakistan,25,2,0.03,24.6,24.7,65.1,13.3,1.24,1.88,0
Karachi,Pakistan,25,2,0.06,25,25.1,63.6,13.3,0.77,1.01,0
Karachi,Pakistan,25,2,0.04,25.2,25.4,59,13.3,0.77,1.13,0
Karachi,Pakistan,25,2,0.18,25.8,25.9,56.5,13.3,0.77,1.01,0
Karachi,Pakistan,25,2,0.35,27.9,26.5,50.8,13.3,0.77,1.01,-1
Karachi,Pakistan,25,2,0.05,25.3,25.6,64.4,13.3,0.79,0.89,0
Karachi,Pakistan,25,2,0.09,25.5,25.3,66.6,13.3,1.16,0.89,0
Karachi,Pakistan,25,2,0.02,24.9,25.2,68,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.01,25.2,25.4,67.3,13.3,1.12,0.89,0
Karachi,Pakistan,25,2,0.02,25.4,25.4,65.1,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.06,25.4,25.2,67.1,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.02,24.6,24.9,67.8,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.02,24,24.1,66.3,13.3,1.26,0.89,0
Karachi,Pakistan,25,2,0.07,23.9,24.1,64,13.3,1.26,0.89,0
Karachi,Pakistan,25,2,0.01,23.9,24,44.8,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.06,24.1,24.1,27.7,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.01,24.5,24.4,27,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.02,24.8,24.9,41,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.02,25,25.1,45.8,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.12,26.3,27.3,35.5,13.3,0.77,1.88,1
Karachi,Pakistan,25,2,0.06,25.2,25.6,47.7,13.3,1.24,0.77,0
Karachi,Pakistan,25,2,0.05,25.1,25.2,53.7,13.3,0.75,1.88,-1
Karachi,Pakistan,25,2,0.02,25.3,25.4,55.4,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.83,25.9,26,53.8,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.31,26.2,26.2,51.8,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.01,25.3,25.6,54.2,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.02,25.4,25.4,52.2,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.01,25,24.9,40.7,13.3,0.75,0.77,0
Karachi,Pakistan,25,2,0.09,22.6,22.8,17.3,13.3,1.63,0.77,0
Karachi,Pakistan,25,2,0.05,22.2,22.5,17.3,13.3,1.63,0.89,0
Karachi,Pakistan,25,2,0.16,21.8,22.1,17.4,13.3,1.12,0.89,0
Karachi,Pakistan,25,2,0.12,22.2,22.3,17.4,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.02,23.1,23.1,17.4,13.3,1.12,1.01,0
Karachi,Pakistan,25,2,0.06,23.6,23.7,17.3,13.3,1.14,1.88,0
Karachi,Pakistan,25,2,0.04,24.2,24.1,17.5,13.3,1.14,0.89,0
Karachi,Pakistan,25,2,0.09,24.8,24.5,18,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.16,26.2,26.2,18.2,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.07,25.5,25.4,18,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.01,25.4,26.1,18,13.3,0.77,0.77,0
Karachi,Pakistan,25,2,0.09,26.1,26,18.1,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.06,25.4,25.3,25.9,13.3,1.14,1.88,0
Karachi,Pakistan,25,2,0.06,25.5,25.3,34,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.1,25.6,25.6,37,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.16,25.7,25.6,39.4,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.14,25.7,25.4,42.5,13.3,0.77,0.89,0
