,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
424,-0.2,6.0,24.58,0.73,1.2,22.8,24.0,0.0,-1.0,73.0,23.4,74.1,23.3,73.9,1.0,0.0,39.0
425,-0.2,6.0,24.54,0.73,1.2,22.7,24.0,0.0,-1.0,72.9,23.5,74.3,23.3,73.9,0.0,0.0,39.0
426,0.2,6.0,26.14,0.93,1.2,23.1,21.8,0.0,0.0,73.6,23.8,74.8,23.7,74.7,0.0,0.0,39.0
427,0.1,5.0,25.84,0.87,1.2,23.5,21.5,0.0,1.0,74.3,23.6,74.5,23.6,74.5,0.0,0.0,39.0
428,0.3,7.0,26.45,0.78,1.4,23.8,21.5,0.0,0.0,74.8,23.6,74.5,23.6,74.5,0.0,0.0,39.0
429,0.3,7.0,26.67,0.93,1.2,23.9,21.4,0.0,1.0,75.0,24.5,76.1,24.3,75.7,0.0,0.0,39.0
430,0.2,6.0,26.51,1.03,1.2,22.6,23.7,0.0,1.0,72.7,23.7,74.7,23.4,74.1,1.0,0.0,39.0
431,0.3,7.0,26.99,1.08,1.2,23.2,25.6,0.1,1.0,73.8,23.3,73.9,23.2,73.8,0.0,19.69,39.0
432,0.8,18.0,29.59,0.86,2.0,21.6,30.8,0.0,1.0,70.9,21.9,71.4,21.9,71.4,1.0,0.0,39.1
433,0.9,23.0,30.02,0.72,2.3,21.6,32.7,0.0,0.0,70.9,22.2,72.0,22.1,71.8,1.0,0.0,39.1
434,0.7,15.0,29.29,0.86,2.0,20.7,35.3,0.0,-1.0,69.3,21.5,70.7,21.4,70.5,0.0,0.0,39.1
435,-0.1,5.0,25.43,1.03,1.2,21.4,30.7,0.0,-1.0,70.5,21.6,70.9,21.6,70.9,1.0,0.0,39.1
436,-0.1,5.0,25.14,0.93,1.2,21.7,32.2,0.0,0.0,71.1,22.2,72.0,22.1,71.8,0.0,0.0,39.1
