,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
48,Portugal,0.4,8,27.06,0.64,1.2,24.5,61.2,0.12,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,76.1,25.1,77.2,25.1,77.2,no change,0,23.62,16.1,61,Database 2
49,Portugal,0.6,13,28.19,0.66,1.4,24.6,58.8,0.17,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,76.3,25.4,77.7,25.3,77.5,more humid,2,33.46,16.1,61,Database 2
50,Portugal,0.9,21,29.72,0.59,1.6,24.6,58.7,0.13,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,76.3,25.6,78.1,25.6,78.1,no change,0,25.59,16.1,61,Database 2
51,Portugal,0.7,15,28.54,0.58,2,21.5,64.2,0.21,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,-1,warmer,less,70.7,23.1,73.6,23,73.4,drier,-3,41.34,16.1,61,Database 2
52,Portugal,0.9,22,29.03,0.63,1.7,24.6,59.2,0.24,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,less,76.3,25.3,77.5,25.3,77.5,no change,0,47.24,16.1,61,Database 2
53,Portugal,1.4,43,32.04,0.59,1.9,25.9,58.7,0.07,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,78.6,26,78.8,26,78.8,no change,0,13.78,16.1,61,Database 2
54,Portugal,1.1,30,30.78,0.58,2,24.4,58.9,0.16,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,75.9,24.9,76.8,24.9,76.8,no change,0,31.5,16.1,61,Database 2
55,Portugal,0.3,7,26.55,0.61,1.2,24.7,58.2,0.12,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,76.5,25,77,25,77,drier,-2,23.62,16.1,61,Database 2
56,Portugal,0.8,18,28.04,0.63,1.2,26,55.8,0.08,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,78.8,26.4,79.5,26.4,79.5,no change,0,15.75,16.1,61,Database 2
57,Portugal,0.7,15,28.31,0.73,1.2,24.7,58.4,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,76.5,25.8,78.4,25.8,78.4,no change,0,19.69,16.1,61,Database 2
