PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation
3,99,35.88,0.72,1,33.2,69,0.27,2
3,99,35.88,0.72,1,33.2,69,0.27,2
0.6,14,27.12,0.7,1,27.1,46,0.01,0
0.6,11,26.73,0.64,1,27.1,46,0.01,0
0.6,11,26.73,0.64,1,27.1,46,0.01,0
0.7,16,27.44,0.75,1,27.1,46,0.01,0
0.7,14,27.25,0.72,1,27.1,46,0.01,-1
0.7,14,27.25,0.72,1,27.1,46,0.01,-1
1.4,45,29.88,0.64,1,29.3,53,0.13,-1
1.5,48,30.25,0.7,1,29.3,53,0.13,1
1.5,48,30.25,0.7,1,29.3,53,0.13,0
1.5,50,30.36,0.72,1,29.3,53,0.13,-1
1.5,48,30.25,0.7,1,29.3,53,0.13,-2
1.4,48,30.19,0.69,1,29.3,53,0.13,-2
1.7,59,28.29,0.72,1,31,47,0.9,-1
1.7,59,28.29,0.72,1,31,47,0.9,0
1.6,58,28.16,0.7,1,31,47,0.9,-1
1.7,59,28.29,0.72,1,31,47,0.9,-1
1.6,58,28.16,0.7,1,31,47,0.9,-2
1.7,60,31.09,0.97,1,29.4,45,0.05,0
1.4,46,29.27,0.64,1,29.4,45,0.05,-2
1.5,49,29.62,0.7,1,29.4,45,0.05,-2
1.5,49,29.62,0.7,1,29.4,45,0.05,0
1.5,49,29.62,0.7,1,29.4,45,0.05,0
1.5,49,29.62,0.7,1,29.4,45,0.05,0
1.2,34,27.16,0.68,1,29.4,48,0.95,-1
1.2,35,27.3,0.7,1,29.4,48,0.95,1
1.5,52,29.08,0.97,1,29.4,48,0.95,-1
1.4,46,29.66,0.68,1,28.3,53,0.01,1
1.4,46,29.66,0.68,1,28.3,53,0.01,0
