Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.14,15.2,23.8,64,13,1.23,1.2,57.33333333,19.61,-2,Tunisia
0.12,15.2,24.8,66,13,1.12,1.6,57.33333333,19.61,-2,Tunisia
0.1,15.2,25.5,66,13,0.65,1.6,74.66666667,18.31333333,-1,Tunisia
0.1,15.63333333,21.8,60,13,0.98,1.6,79.66666667,17.99666667,0,Tunisia
0.08,15.2,21.7,65,13,0.78,1,74.66666667,18.31333333,-2,Tunisia
0.17,15.3,22.2,65,13,0.88,1,95,17.47,-1,Tunisia
0.15,15,23.6,65,13,1.01,1.2,64,18.44,0,Tunisia
0.18,15.2,23,63,13,0.68,1.3,74.66666667,18.31333333,0,Tunisia
0.11,15.23333333,23.9,57,13,0.61,1,84.33333333,17.72666667,-2,Tunisia
0.1,15.3,24,69,13,1.15,1,65,19.03,-1,Tunisia
0.11,15.23333333,24.1,64,13,0.98,1.6,74.33333333,18.24666667,-2,Tunisia
0.17,15.23333333,23.8,67,13,1.17,1.2,74.33333333,18.24666667,-1,Tunisia
0.15,15.23333333,24.4,61,13,1.12,1.2,84.33333333,17.72666667,-1,Tunisia
0.15,15.23333333,21.8,65,13,0.84,1,74.33333333,18.24666667,-2,Tunisia
0.17,15.4,23.4,66,13,0.92,1,94,17.27,-1,Tunisia
0.14,15.23333333,23.3,68,13,1.32,1.6,74.33333333,18.24666667,-2,Tunisia
0.11,16.03333333,22.9,65,13,1.23,1.2,71,18.63,0,Tunisia
0.12,16.9,24.5,18,13,0.95,1,94,15.9,-2,Tunisia
0.11,16.36666667,22.4,63,13,1.54,1.3,53,20.18666667,-2,Tunisia
0.18,16.36666667,22.2,62,13,1.4,1.2,53,20.18666667,-2,Tunisia
0.12,16.36666667,22.8,65,13,1.23,1.2,53,20.18666667,0,Tunisia
0.11,16.36666667,21.7,70,13,1.08,1.2,53,20.18666667,-1,Tunisia
0.15,16.36666667,22.3,69,13,1.62,1,53,20.18666667,-2,Tunisia
0.22,17.4,23.9,62,13,0.8,1.2,54,19.59,0,Tunisia
0.08,16.33333333,23.6,59,13,0.88,1.2,25,22.27666667,-2,Tunisia
0.1,16.3,23.3,63,13,1.74,1,11,23.7,-2,Tunisia
0.1,16.33333333,23.3,60,13,1.14,1.6,25,22.27666667,-2,Tunisia
0.1,15.3,24.3,60,13,0.91,1.6,10,23.54,0,Tunisia
0.09,15.53333333,23.7,65,13,1,1.6,13,23.34666667,0,Tunisia
0.11,15.96666667,23.8,66,13,1.12,1.1,23.33333333,22.37,-2,Tunisia
0.13,15.2,24.6,60,13,1.67,1,25,22.15,-2,Tunisia
